Ticker,shortname,Sàn NY,Level1,Level2,Level3,Level4,Số CP niêm yết,Số CP lưu hành,Số CP lưu hành BQ hiện tại,Free Fload,Giá đóng cửa,Vốn hóa,KLTB 30 ngày,KLTB 30 ngày/Số CPLH,KLTB 90 ngày,KLTB 90 ngày/Số CPLH,KLTB 180 ngày,KLTB 180 ngày/Số CPLH bình quân hiện tại,GTTB 30 ngày,GTTB 90 ngày,GTTB 180 ngày,Lãi gộp/Doanh thu,LN ròng/Doanh thu,LN ròng/Doanh thu1,ROE,ROA,khả năng thanh toán ngắn hạn,Tổng công nợ/Vốn CSH,tỷ lệ dòng tền trước thuế và thu nhập/thu nhập trước lãi và thuế,EV/EBITDA,EPS,BV,P/E,P/B,updatedate
KCB,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,8000000,8000000,8000000.0,2800000,3000,,0.0,0.0,0.0,0.0,5.83333333333333,7.291666666666659e-07,0,0.0,13250.0,,,,,,,,,,-1404.0,9387.407369125,-2.13610147248427,0.31957705488172805,2020-03-26 00:00:00
KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,UpCom,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,1500000,1500000,1500000.0,525000,16100,,20.0,1.3333333333333301e-05,66.6666666666666,4.44444444444444e-05,61.6666666666666,4.11111111111111e-05,283500,732166.6666666659,649416.666666666,,,,,,,,,,4890.0,17306.3806686666,3.29268136698319,0.93029272314281,2020-03-26 00:00:00
KDF,Công ty Cổ phần Thực phẩm Đông lạnh KIDO,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,56000000,54160000,55795555.55555551,18956000,23290,,8846.65,0.00016334287296898,4040.76666666666,7.460795174790741e-05,29161.8333333333,0.000522655129839095,201537865,98696190.0,1017436098.33333,,,,,,,,,,0.0,,0,0.0,2020-03-26 00:00:00
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,UpCom,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,25430000,25430000,25430000.0,2543000,5000,,50.0,1.96618167518678e-06,18.3333333333333,7.20933280901822e-07,10.0,3.9323633503735705e-07,279000,106333.33333333301,64250.0,,,,,,,,,,0.0,11305.3657853775,405.310977549848,0.442267865978032,2020-03-26 00:00:00
KHA,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội,UpCom,Tài chính,Bất động sản,Bất động sản,Bất động sản,14120309,13958779,13959138.0,9073206,38900,,1.75,1.2536913149781899e-07,247.56666666666598,1.77355531358915e-05,6063.64166666666,0.000434385107924763,57925,9000626.66666666,176542840.83333302,,,,,,,,,,4826.0,23467.584694924102,7.96972352815077,1.65760560814823,2020-03-26 00:00:00
KHB,Công ty Cổ phần Khoáng sản Hòa Bình,UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,29075499,29075499,29075500.0,27621724,500,,36143.5,0.00124309130515696,26208.5,0.0009013946759778741,24173.416666666602,0.000831401580941571,18612750,15510350.0,14427925.0,,,,,,,,,,53.0,11182.722160982099,22.1319789773125,0.0447118324860615,2020-03-26 00:00:00
KHD,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",UpCom,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng ,3262818,3262818,3262818.0,1468268,7300,,4096.35,0.00125546383524916,4928.68333333333,0.0015105602988990901,5155.625,0.0015801141835064,32920835,43770595.0,77287637.5,,,,,,,,,,7617.0,22380.4897330864,0.958382965766708,0.32617695533301694,2020-03-26 00:00:00
KHL,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,UpCom,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,12000000,12000000,12000000.0,9600000,100,,135.0,1.125e-05,380.0,3.16666666666666e-05,2252.5,0.000187708333333333,17000,65500.0,452166.666666666,,,,,,,,,,79.0,9997.59329,2.18157109707572,0.0100024072893647,2020-03-26 00:00:00
KHW,Công ty Cổ phần Cấp thoát nước Khánh Hòa,UpCom,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,26000000,26000000,25978953.333333302,2600000,19000,,15.0,5.769230769230761e-07,5.0,1.92307692307692e-07,5.0,1.92463489034585e-07,300000,100000.0,97666.6666666666,,,,,,,,,,904.0,10936.5643383076,21.0232475377258,1.73729147584752,2020-03-26 00:00:00
KIP,Công ty Cổ phần K.I.P Việt Nam,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Thiết bị điện,9800000,9800000,9800000.0,3920000,16300,,50.0,5.10204081632653e-06,41.6666666666666,4.2517006802721e-06,35.0,3.5714285714285697e-06,559000,470333.33333333296,428000.0,,,,,,,,,,3561.0,22618.803080588197,4.57769537404439,0.7206393699049829,2020-03-26 00:00:00
